text,category
Recurring charge: DigitalOcean droplet and managed database charges,Cloud/Software
Piped water supply and sewerage charges,Utilities
GST invoice for Mobile accessories wholesale lot for retail,Inventory
Payment towards New Relic application monitoring subscription,Cloud/Software
Bill: Zoom Pro video conferencing license renewal,Cloud/Software
Recurring charge: Battery cells and charger units procurement,Inventory
Conference registration and travel grant,Travel
Vendor invoice — DigitalOcean droplet and managed database charges,Cloud/Software
Recurring charge: Airtel business Wi-Fi connection bill,Utilities
Wall clock and notice board for reception,Office Supplies
expense: fedex international freight forwarding charges,Logistics
Recurring charge: Employee ID card printing and lanyards,Office Supplies
Expense: Battery cells and charger units procurement,Inventory
Figma professional design tool license — reimbursement claim,Cloud/Software
Invoice for New Relic application monitoring subscription,Cloud/Software
invoice for cctv surveillance system monitoring charges,Utilities
ups battery backup for office computers,Office Supplies
Employee ID card printing and lanyards — reimbursement claim,Office Supplies
recurring charge: solar panel maintenance and cleaning charges,Utilities
Recurring charge: Ecom Express last-mile delivery fee,Logistics
Invoice for BSNL broadband internet connection charges,Utilities
loading and unloading charges at distribution centre — reimbursement claim,Logistics
Bill: Printer consumables and toner for resale,Inventory
Automobile spare parts for service centre stock,Inventory
Invoice for First aid kit and safety supplies for office,Office Supplies
Recurring charge: Commercial gas connection bill for canteen,Utilities
Cloudflare domain and CDN service subscription,Cloud/Software
office pantry supplies tea coffee sugar and cups,Office Supplies
fedex international freight forwarding charges — reimbursement claim,Logistics
recurring charge: commercial gas connection bill for canteen,Utilities
Expense: Visiting cards and letterhead printing,Office Supplies
GST invoice for Standing desk converter and monitor riser,Office Supplies
Bill: Rental car with driver for week-long project site,Travel
Ergonomic office chair for workstation,Office Supplies
rental car with driver for week-long project site,Travel
new relic application monitoring subscription — reimbursement claim,Cloud/Software
Recurring charge: Porter intra-city logistics and tempo hire,Logistics
recurring charge: rental car with driver for week-long project site,Travel
Expense: Projector screen for conference room,Office Supplies
Payment towards ChatGPT API usage and OpenAI platform credits,Cloud/Software
Payment towards Bus ticket for employee inter-city commute,Travel
vendor invoice — freshdesk customer support software license,Cloud/Software
Invoice for Google Workspace Business email and storage plan,Cloud/Software
Bill: India Post speed post and registered parcel charges,Logistics
recurring charge: bike delivery charges for same-day dispatch,Logistics
Building maintenance and common area electricity — reimbursement claim,Utilities
invoice for whiteboard markers and eraser set for meeting room,Office Supplies
Expense: MakeMyTrip hotel booking for annual offsite,Travel
Invoice for Airport lounge access and priority boarding,Travel
Payment towards Ecom Express last-mile delivery fee,Logistics
Expense: Tatkal train booking for urgent site visit,Travel
bill: whiteboard markers and eraser set for meeting room,Office Supplies
Recurring charge: Rental car with driver for week-long project site,Travel
Vendor invoice — Fabric rolls and textile material procurement,Inventory
payment towards packaging boxes cartons and bubble wrap,Inventory
IRCTC train ticket for team offsite Jaipur,Travel
Bill: Building maintenance and common area electricity,Utilities
Vendor invoice — MakeMyTrip hotel booking for annual offsite,Travel
Bill: Fire safety compliance and extinguisher refill,Utilities
Bill: Food ingredients and spices bulk purchase,Inventory
GST invoice for Google Cloud Platform compute engine subscription,Cloud/Software
payment towards a4 printing paper ream pack for office use,Office Supplies
Payment towards Cloudflare domain and CDN service subscription,Cloud/Software
GST invoice for Blue Dart courier charges for warehouse delivery,Logistics
gst invoice for india post speed post and registered parcel charges,Logistics
zoom pro video conferencing license renewal,Cloud/Software
Payment towards Purchase of raw cotton bales from supplier,Inventory
gst invoice for plastic granules and moulding material,Inventory
Expense: XpressBees logistics pickup and delivery,Logistics
Payment towards Automobile spare parts for service centre stock,Inventory
Expense: Fabric rolls and textile material procurement,Inventory
Vendor invoice — Flight tickets Delhi to Mumbai for client meeting,Travel
Microsoft Azure virtual machine and storage charges,Cloud/Software
Expense: UPS battery backup for office computers,Office Supplies
Vercel Pro deployment and hosting plan,Cloud/Software
Projector screen for conference room — reimbursement claim,Office Supplies
Zoom Pro video conferencing license renewal — reimbursement claim,Cloud/Software
bill: slack business plus annual team subscription,Cloud/Software
Invoice for Computer hardware components for assembly,Inventory
bill: automobile spare parts for service centre stock,Inventory
Expense: Loading and unloading charges at distribution centre,Logistics
E-way bill compliant transporter charges for goods,Logistics
Plastic granules and moulding material,Inventory
Invoice for HP ink cartridge and toner replacement,Office Supplies
Loading and unloading charges at distribution centre,Logistics
Notion team workspace annual subscription — reimbursement claim,Cloud/Software
Vistara business class ticket for CEO travel,Travel
invoice for dtdc express parcel delivery charges,Logistics
Vendor invoice — Automobile spare parts for service centre stock,Inventory
Bill: Figma professional design tool license,Cloud/Software
Invoice for Tatkal train booking for urgent site visit,Travel
bill: packaging boxes cartons and bubble wrap,Inventory
Vendor invoice — Pharmaceutical raw materials API procurement,Inventory
Invoice for GitHub Team plan for private repositories,Cloud/Software
bill: razorpay payment gateway integration charges,Cloud/Software
Vendor invoice — Pen drive and external hard disk purchase,Office Supplies
Payment towards Herbal extracts and cosmetic raw materials,Inventory
New Relic application monitoring subscription,Cloud/Software
A4 printing paper ream pack for office use — reimbursement claim,Office Supplies
GST invoice for Fuel reimbursement for personal car used for work,Travel
GST invoice for Flight tickets Delhi to Mumbai for client meeting,Travel
Invoice for Multi-plug extension board and cable organizer,Office Supplies
bill: per diem meal allowance during hyderabad trip,Travel
recurring charge: freight forwarding charges for container shipment,Logistics
Vendor invoice — Porter intra-city logistics and tempo hire,Logistics
bill: irctc train ticket for team offsite jaipur,Travel
CCTV surveillance system monitoring charges,Utilities
Vendor invoice — DTDC express parcel delivery charges,Logistics
Freight forwarding charges for container shipment — reimbursement claim,Logistics
Bus ticket for employee inter-city commute,Travel
Lift and elevator annual maintenance contract — reimbursement claim,Utilities
Recurring charge: Notion team workspace annual subscription,Cloud/Software
Vendor invoice — A4 printing paper ream pack for office use,Office Supplies
Paint and chemical solvents for production,Inventory
Invoice for Toll charges for highway travel Pune to Mumbai,Travel
Vendor invoice — Desk lamp LED study light for workstation,Office Supplies
Bill: Adobe Creative Cloud all-apps subscription,Cloud/Software
UPS battery backup for office computers — reimbursement claim,Office Supplies
Payment towards Google Cloud Platform compute engine subscription,Cloud/Software
GST invoice for Adobe Creative Cloud all-apps subscription,Cloud/Software
Ola cab ride from office to airport,Travel
GST invoice for IRCTC train ticket for team offsite Jaipur,Travel
Cement bags and construction materials purchase,Inventory
Municipal property tax and civic charges,Utilities
Payment towards Cold chain transportation for perishable goods,Logistics
India Post speed post and registered parcel charges,Logistics
bus ticket for employee inter-city commute,Travel
Expense: Visa processing and consulate fees for Singapore,Travel
pen drive and external hard disk purchase — reimbursement claim,Office Supplies
Invoice for Travel insurance premium for international trip,Travel
Expense: E-way bill compliant transporter charges for goods,Logistics
GST invoice for Piped water supply and sewerage charges,Utilities
Recurring charge: Keyboard and mouse combo wireless set,Office Supplies
Invoice for Freight forwarding charges for container shipment,Logistics
Bus ticket for employee inter-city commute,Travel
invoice for freight forwarding charges for container shipment,Logistics
Recurring charge: Office pantry supplies tea coffee sugar and cups,Office Supplies
Invoice for Cold chain transportation for perishable goods,Logistics
Recurring charge: Flight tickets Delhi to Mumbai for client meeting,Travel
GST invoice for Shadowfax hyperlocal delivery charges,Logistics
Expense: Ergonomic office chair for workstation,Office Supplies
Payment towards Uber auto rickshaw for local client visit,Travel
Flight tickets Delhi to Mumbai for client meeting,Travel
Sewage treatment plant operating expenses,Utilities
Vendor invoice — Airport lounge access and priority boarding,Travel
GST invoice for XpressBees logistics pickup and delivery,Logistics
gst invoice for shadowfax hyperlocal delivery charges,Logistics
Invoice for Adobe Creative Cloud all-apps subscription,Cloud/Software
Purchase of raw cotton bales from supplier,Inventory
Tatkal train booking for urgent site visit,Travel
Visa processing and consulate fees for Singapore — reimbursement claim,Travel
Shadowfax hyperlocal delivery charges — reimbursement claim,Logistics
Employee ID card printing and lanyards,Office Supplies
Invoice for Notion team workspace annual subscription,Cloud/Software
Vendor invoice — Cleaning supplies and housekeeping materials,Office Supplies
Invoice for Ergonomic office chair for workstation,Office Supplies
Vendor invoice — Rain water harvesting system maintenance,Utilities
Bill: Vistara business class ticket for CEO travel,Travel
Recurring charge: Packaging boxes cartons and bubble wrap,Inventory
Bill: GitHub Team plan for private repositories,Cloud/Software
bill: lift and elevator annual maintenance contract,Utilities
Invoice for Microsoft Azure virtual machine and storage charges,Cloud/Software
Vendor invoice — Jio fiber high-speed internet monthly rental,Utilities
bill: blue dart courier charges for warehouse delivery,Logistics
Expense: Monthly electricity bill for office premises,Utilities
Staplers paper clips and binder accessories,Office Supplies
Bill: Electronic components ICs and PCBs for assembly,Inventory
Expense: Paint and chemical solvents for production,Inventory
Bill: Multi-plug extension board and cable organizer,Office Supplies
Expense: Sewage treatment plant operating expenses,Utilities
Vendor invoice — Steel bars and TMT rods for manufacturing,Inventory
Commercial gas connection bill for canteen,Utilities
staplers paper clips and binder accessories,Office Supplies
Desk lamp LED study light for workstation,Office Supplies
Expense: Herbal extracts and cosmetic raw materials,Inventory
Payment towards Delhivery shipment for customer order fulfilment,Logistics
Expense: Per diem meal allowance during Hyderabad trip,Travel
gst invoice for xpressbees logistics pickup and delivery,Logistics
Porter intra-city logistics and tempo hire,Logistics
Payment towards MakeMyTrip hotel booking for annual offsite,Travel
GST invoice for Fire safety compliance and extinguisher refill,Utilities
Bill: Warehouse to warehouse stock transfer logistics,Logistics
Payment towards First aid kit and safety supplies for office,Office Supplies
Expense: CCTV surveillance system monitoring charges,Utilities
GST invoice for Steel bars and TMT rods for manufacturing,Inventory
vendor invoice — office pantry supplies tea coffee sugar and cups,Office Supplies
Mobile accessories wholesale lot for retail,Inventory
Desk organizers and file folders purchase,Office Supplies
Bill: Pest control and fumigation service charges,Utilities
Expense: Wood timber and plywood for furniture workshop,Inventory
Purchase of raw cotton bales from supplier — reimbursement claim,Inventory
Cleaning supplies and housekeeping materials — reimbursement claim,Office Supplies
Bill: First aid kit and safety supplies for office,Office Supplies
Return shipment reverse logistics processing fee,Logistics
Bill: MongoDB Atlas managed database hosting,Cloud/Software
payment towards piped water supply and sewerage charges,Utilities
transport charges for inter-state goods movement,Logistics
Invoice for Porter intra-city logistics and tempo hire,Logistics
shadowfax hyperlocal delivery charges,Logistics
Vendor invoice — Solar panel maintenance and cleaning charges,Utilities
Expense: Commercial gas connection bill for canteen,Utilities
Expense: Municipal property tax and civic charges,Utilities
Recurring charge: New Relic application monitoring subscription,Cloud/Software
Recurring charge: Building maintenance and common area electricity,Utilities
Vendor invoice — Plastic granules and moulding material,Inventory
Vendor invoice — Trucking charges for bulk raw material delivery,Logistics
vendor invoice — cleaning supplies and housekeeping materials,Office Supplies
Invoice for Commercial gas connection bill for canteen,Utilities
steel bars and tmt rods for manufacturing,Inventory
Invoice for Pen drive and external hard disk purchase,Office Supplies
bill: air conditioning amc and servicing charges,Utilities
Invoice for Visa processing and consulate fees for Singapore,Travel
Payment towards Travel insurance premium for international trip,Travel
Expense: A4 printing paper ream pack for office use,Office Supplies
Expense: Packaging boxes cartons and bubble wrap,Inventory
Payment towards Multi-plug extension board and cable organizer,Office Supplies
Payment towards Rain water harvesting system maintenance,Utilities
invoice for zoom pro video conferencing license renewal,Cloud/Software
Payment towards Desk lamp LED study light for workstation,Office Supplies
expense: rajdhani express train fare for business travel,Travel
Payment towards Electronic components ICs and PCBs for assembly,Inventory
expense: digitalocean droplet and managed database charges,Cloud/Software
Expense: DHL express shipping for export consignment,Logistics
Freight forwarding charges for container shipment,Logistics
Keyboard and mouse combo wireless set,Office Supplies
Recurring charge: Shadowfax hyperlocal delivery charges,Logistics
recurring charge: conference registration and travel grant,Travel
Vendor invoice — Freight forwarding charges for container shipment,Logistics
dtdc express parcel delivery charges,Logistics
Expense: Printer consumables and toner for resale,Inventory
Invoice for Fuel reimbursement for personal car used for work,Travel
invoice for keyboard and mouse combo wireless set,Office Supplies
Vistara business class ticket for CEO travel,Travel
Fuel reimbursement for personal car used for work,Travel
Payment towards FedEx international freight forwarding charges,Logistics
MongoDB Atlas managed database hosting,Cloud/Software
gst invoice for transport charges for inter-state goods movement,Logistics
Bill: Paper shredder for document disposal,Office Supplies
First aid kit and safety supplies for office,Office Supplies
Recurring charge: E-way bill compliant transporter charges for goods,Logistics
Pest control and fumigation service charges — reimbursement claim,Utilities
Invoice for OYO hotel accommodation for conference in Bangalore,Travel
expense: diesel generator fuel for power backup,Utilities
Recurring charge: Razorpay payment gateway integration charges,Cloud/Software
Herbal extracts and cosmetic raw materials,Inventory
Recurring charge: Mobile accessories wholesale lot for retail,Inventory
google workspace business email and storage plan — reimbursement claim,Cloud/Software
Bill: UPS battery backup for office computers,Office Supplies
Invoice for Food ingredients and spices bulk purchase,Inventory
Multi-plug extension board and cable organizer,Office Supplies
GST invoice for Municipal property tax and civic charges,Utilities
Parking charges at client premises and airport,Travel
Ola cab ride from office to airport — reimbursement claim,Travel
GST invoice for Cement bags and construction materials purchase,Inventory
staplers paper clips and binder accessories,Office Supplies
Bill: MakeMyTrip hotel booking for annual offsite,Travel
Expense: Air conditioning AMC and servicing charges,Utilities
Invoice for Finished goods stock replenishment from vendor,Inventory
A4 printing paper ream pack for office use,Office Supplies
GST invoice for Bike delivery charges for same-day dispatch,Logistics
gst invoice for uber auto rickshaw for local client visit,Travel
Bill: Freight forwarding charges for container shipment,Logistics
payment towards rain water harvesting system maintenance,Utilities
courier charges for sending documents to client,Logistics
payment towards wood timber and plywood for furniture workshop,Inventory
Bill: Paint and chemical solvents for production,Inventory
Recurring charge: Desk lamp LED study light for workstation,Office Supplies
Expense: Shadowfax hyperlocal delivery charges,Logistics
gst invoice for desk lamp led study light for workstation,Office Supplies
Google Workspace Business email and storage plan,Cloud/Software
Bill: Freshdesk customer support software license,Cloud/Software
Vendor invoice — Return shipment reverse logistics processing fee,Logistics
FedEx international freight forwarding charges,Logistics
Rain water harvesting system maintenance — reimbursement claim,Utilities
expense: salesforce crm monthly enterprise license,Cloud/Software
Bus ticket for employee inter-city commute — reimbursement claim,Travel
Blue Dart courier charges for warehouse delivery,Logistics
bill: uber auto rickshaw for local client visit,Travel
Vendor invoice — Per diem meal allowance during Hyderabad trip,Travel
Payment towards Standing desk converter and monitor riser,Office Supplies
recurring charge: razorpay payment gateway integration charges,Cloud/Software
Bill: Mobile accessories wholesale lot for retail,Inventory
Herbal extracts and cosmetic raw materials,Inventory
Garment trims buttons zippers thread stock,Inventory
Pharmaceutical raw materials API procurement,Inventory
Steel bars and TMT rods for manufacturing,Inventory
GST invoice for Notion team workspace annual subscription,Cloud/Software
Conference registration and travel grant,Travel
Vendor invoice — Loading and unloading charges at distribution centre,Logistics
Flight tickets Delhi to Mumbai for client meeting — reimbursement claim,Travel
recurring charge: visiting cards and letterhead printing,Office Supplies
expense: street lighting and compound security charges,Utilities
Recurring charge: Google Cloud Platform compute engine subscription,Cloud/Software
Vendor invoice — Blue Dart courier charges for warehouse delivery,Logistics
Invoice for Lift and elevator annual maintenance contract,Utilities
Ergonomic office chair for workstation — reimbursement claim,Office Supplies
Bill: Diesel generator fuel for power backup,Utilities
GST invoice for Jira Software Cloud project management license,Cloud/Software
Recurring charge: Computer hardware components for assembly,Inventory
expense: computer hardware components for assembly,Inventory
Payment towards Steel bars and TMT rods for manufacturing,Inventory
vendor invoice — garment trims buttons zippers thread stock,Inventory
Invoice for Per diem meal allowance during Hyderabad trip,Travel
Pharmaceutical raw materials API procurement — reimbursement claim,Inventory
Recurring charge: Return shipment reverse logistics processing fee,Logistics
Mobile accessories wholesale lot for retail,Inventory
DTDC express parcel delivery charges — reimbursement claim,Logistics
Recurring charge: MakeMyTrip hotel booking for annual offsite,Travel
Expense: First aid kit and safety supplies for office,Office Supplies
Uber auto rickshaw for local client visit,Travel
gst invoice for solar panel maintenance and cleaning charges,Utilities
Invoice for Bus ticket for employee inter-city commute,Travel
BSNL broadband internet connection charges,Utilities
Expense: BSNL broadband internet connection charges,Utilities
GST invoice for Transport charges for inter-state goods movement,Logistics
Bill: Bus ticket for employee inter-city commute,Travel
Recurring charge: Herbal extracts and cosmetic raw materials,Inventory
GST invoice for Pharmaceutical raw materials API procurement,Inventory
Standing desk converter and monitor riser,Office Supplies
Payment towards Conference registration and travel grant,Travel
Recurring charge: Whiteboard markers and eraser set for meeting room,Office Supplies
return shipment reverse logistics processing fee,Logistics
XpressBees logistics pickup and delivery,Logistics
Recurring charge: Courier charges for sending documents to client,Logistics
Vendor invoice — Waste disposal and garbage collection charges,Utilities
Rajdhani Express train fare for business travel,Travel
HP ink cartridge and toner replacement — reimbursement claim,Office Supplies
Bill: Safety equipment helmets gloves for warehouse,Inventory
Freshdesk customer support software license,Cloud/Software
recurring charge: airtel business wi-fi connection bill,Utilities
payment towards airport lounge access and priority boarding,Travel
Vendor invoice — Building maintenance and common area electricity,Utilities
vendor invoice — airport lounge access and priority boarding,Travel
Google Cloud Platform compute engine subscription — reimbursement claim,Cloud/Software
payment towards per diem meal allowance during hyderabad trip,Travel
Invoice for Herbal extracts and cosmetic raw materials,Inventory
Recurring charge: Pen drive and external hard disk purchase,Office Supplies
Vendor invoice — Computer hardware components for assembly,Inventory
microsoft azure virtual machine and storage charges,Cloud/Software
Vendor invoice — Desk organizers and file folders purchase,Office Supplies
cctv surveillance system monitoring charges,Utilities
Expense: Steel bars and TMT rods for manufacturing,Inventory
Bill: Airtel business Wi-Fi connection bill,Utilities
GST invoice for Street lighting and compound security charges,Utilities
Vendor invoice — Packaging boxes cartons and bubble wrap,Inventory
multi-plug extension board and cable organizer,Office Supplies
Payment towards Adobe Creative Cloud all-apps subscription,Cloud/Software
Recurring charge: IRCTC train ticket for team offsite Jaipur,Travel
Recurring charge: Projector screen for conference room,Office Supplies
recurring charge: transport charges for inter-state goods movement,Logistics
GST invoice for Microsoft Azure virtual machine and storage charges,Cloud/Software
Invoice for Piped water supply and sewerage charges,Utilities
vendor invoice — adobe creative cloud all-apps subscription,Cloud/Software
Herbal extracts and cosmetic raw materials — reimbursement claim,Inventory
Keyboard and mouse combo wireless set,Office Supplies
Payment towards Shadowfax hyperlocal delivery charges,Logistics
Salesforce CRM monthly enterprise license — reimbursement claim,Cloud/Software
Invoice for Automobile spare parts for service centre stock,Inventory
Bill: Employee ID card printing and lanyards,Office Supplies
payment towards vistara business class ticket for ceo travel,Travel
Expense: Automobile spare parts for service centre stock,Inventory
invoice for steel bars and tmt rods for manufacturing,Inventory
Slack Business Plus annual team subscription,Cloud/Software
Monthly electricity bill for office premises — reimbursement claim,Utilities
GST invoice for CCTV surveillance system monitoring charges,Utilities
expense: standing desk converter and monitor riser,Office Supplies
GST invoice for Computer hardware components for assembly,Inventory
uber auto rickshaw for local client visit — reimbursement claim,Travel
recurring charge: staplers paper clips and binder accessories,Office Supplies
GST invoice for Purchase of raw cotton bales from supplier,Inventory
Bill: Parking charges at client premises and airport,Travel
GST invoice for Freight forwarding charges for container shipment,Logistics
GST invoice for Electronic components ICs and PCBs for assembly,Inventory
automobile spare parts for service centre stock,Inventory
Cement bags and construction materials purchase — reimbursement claim,Inventory
payment towards microsoft azure virtual machine and storage charges,Cloud/Software
Recurring charge: Fabric rolls and textile material procurement,Inventory
GST invoice for Projector screen for conference room,Office Supplies
ChatGPT API usage and OpenAI platform credits,Cloud/Software
Vendor invoice — Razorpay payment gateway integration charges,Cloud/Software
Expense: Standing desk converter and monitor riser,Office Supplies
GST invoice for Freshdesk customer support software license,Cloud/Software
gst invoice for purchase of raw cotton bales from supplier,Inventory
Lift and elevator annual maintenance contract,Utilities
Recurring charge: Plastic granules and moulding material,Inventory
GST invoice for Plastic granules and moulding material,Inventory
gst invoice for porter intra-city logistics and tempo hire,Logistics
GST invoice for Herbal extracts and cosmetic raw materials,Inventory
Cold chain transportation for perishable goods,Logistics
recurring charge: github team plan for private repositories,Cloud/Software
Paper shredder for document disposal — reimbursement claim,Office Supplies
payment towards finished goods stock replenishment from vendor,Inventory
Recurring charge: India Post speed post and registered parcel charges,Logistics
bill: freight forwarding charges for container shipment,Logistics
Invoice for Paint and chemical solvents for production,Inventory
cleaning supplies and housekeeping materials — reimbursement claim,Office Supplies
Payment towards Visa processing and consulate fees for Singapore,Travel
Freshdesk customer support software license,Cloud/Software
Rental car with driver for week-long project site,Travel
GST invoice for Conference registration and travel grant,Travel
vendor invoice — jira software cloud project management license,Cloud/Software
GST invoice for MakeMyTrip hotel booking for annual offsite,Travel
Recurring charge: Warehouse to warehouse stock transfer logistics,Logistics
GST invoice for Monthly electricity bill for office premises,Utilities
payment towards bike delivery charges for same-day dispatch,Logistics
per diem meal allowance during hyderabad trip,Travel
CCTV surveillance system monitoring charges,Utilities
Wood timber and plywood for furniture workshop,Inventory
Vendor invoice — India Post speed post and registered parcel charges,Logistics
Microsoft Azure virtual machine and storage charges,Cloud/Software
GST invoice for Metro card recharge for daily office commute,Travel
Invoice for Vercel Pro deployment and hosting plan,Cloud/Software
Expense: ChatGPT API usage and OpenAI platform credits,Cloud/Software
Recurring charge: Trucking charges for bulk raw material delivery,Logistics
monthly electricity bill for office premises — reimbursement claim,Utilities
Invoice for Trucking charges for bulk raw material delivery,Logistics
Payment towards Computer hardware components for assembly,Inventory
Recurring charge: Cloudflare domain and CDN service subscription,Cloud/Software
GST invoice for Multi-plug extension board and cable organizer,Office Supplies
Bill: Ergonomic office chair for workstation,Office Supplies
Payment towards Printer consumables and toner for resale,Inventory
payment towards mongodb atlas managed database hosting,Cloud/Software
Vendor invoice — Municipal property tax and civic charges,Utilities
cement bags and construction materials purchase,Inventory
Standing desk converter and monitor riser,Office Supplies
DTDC express parcel delivery charges,Logistics
Invoice for Zoom Pro video conferencing license renewal,Cloud/Software
Bill: Fuel reimbursement for personal car used for work,Travel
Payment towards Pest control and fumigation service charges,Utilities
payment towards employee id card printing and lanyards,Office Supplies
Municipal property tax and civic charges,Utilities
Computer hardware components for assembly,Inventory
Expense: Cement bags and construction materials purchase,Inventory
Electronic components ICs and PCBs for assembly — reimbursement claim,Inventory
Garment trims buttons zippers thread stock,Inventory
UPS battery backup for office computers,Office Supplies
IRCTC train ticket for team offsite Jaipur,Travel
DHL express shipping for export consignment,Logistics
Bill: Metro card recharge for daily office commute,Travel
Payment towards Flight tickets Delhi to Mumbai for client meeting,Travel
vendor invoice — keyboard and mouse combo wireless set,Office Supplies
Invoice for Employee ID card printing and lanyards,Office Supplies
Payment towards Trucking charges for bulk raw material delivery,Logistics
Vendor invoice — DHL express shipping for export consignment,Logistics
DHL express shipping for export consignment — reimbursement claim,Logistics
Payment towards Municipal property tax and civic charges,Utilities
payment towards fuel reimbursement for personal car used for work,Travel
Bill: Courier charges for sending documents to client,Logistics
GST invoice for Tatkal train booking for urgent site visit,Travel
plastic granules and moulding material — reimbursement claim,Inventory
recurring charge: food ingredients and spices bulk purchase,Inventory
porter intra-city logistics and tempo hire — reimbursement claim,Logistics
Bill: Plastic granules and moulding material,Inventory
Desk organizers and file folders purchase,Office Supplies
Paper shredder for document disposal,Office Supplies
GST invoice for Pen drive and external hard disk purchase,Office Supplies
Slack Business Plus annual team subscription — reimbursement claim,Cloud/Software
Printer consumables and toner for resale,Inventory
Recurring charge: FedEx international freight forwarding charges,Logistics
Payment towards Return shipment reverse logistics processing fee,Logistics
Invoice for Steel bars and TMT rods for manufacturing,Inventory
